code,link,title,level
6.036,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-036-introduction-to-machine-learning-fall-2020,"Introduction to Machine Learning
                                   (Fall 2020)",Undergraduate
6.041,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-041-probabilistic-systems-analysis-and-applied-probability-fall-2010,"Probabilistic Systems Analysis and Applied Probability
                                   (Fall 2010)",Undergraduate
6.041,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-041-probabilistic-systems-analysis-and-applied-probability-spring-2006,"Probabilistic Systems Analysis and Applied  Probability
                                   (Spring 2006)",Undergraduate
6.041SC,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-041sc-probabilistic-systems-analysis-and-applied-probability-fall-2013,"Probabilistic Systems Analysis and Applied Probability
                                   (Fall 2013)",Undergraduate
6.042J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-042j-mathematics-for-computer-science-spring-2015,"Mathematics for Computer Science
                                   (Spring 2015)",Undergraduate
6.042J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-042j-mathematics-for-computer-science-fall-2010,"Mathematics for Computer Science
                                   (Fall 2010)",Undergraduate
6.042J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-042j-mathematics-for-computer-science-fall-2005,"Mathematics for Computer Science
                                   (Fall 2005)",Undergraduate
6.045J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-045j-automata-computability-and-complexity-spring-2011,"Automata, Computability, and Complexity
                                   (Spring 2011)",Undergraduate
6.046J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-046j-design-and-analysis-of-algorithms-spring-2015,"Design and Analysis of Algorithms
                                   (Spring 2015)",Undergraduate
6.046J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-046j-design-and-analysis-of-algorithms-spring-2012,"Design and Analysis of Algorithms
                                   (Spring 2012)",Undergraduate
6.046J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-046j-introduction-to-algorithms-sma-5503-fall-2005,"Introduction to Algorithms (SMA 5503)
                                   (Fall 2005)",Undergraduate
6.047,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-047-computational-biology-fall-2015,"Computational Biology
                                   (Fall 2015)",Undergraduate
6.050J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-050j-information-and-entropy-spring-2008,"Information and Entropy
                                   (Spring 2008)",Undergraduate
6.055J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-055j-the-art-of-approximation-in-science-and-engineering-spring-2008,"The Art of Approximation in Science and Engineering
                                   (Spring 2008)",Undergraduate
6.057,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-057-introduction-to-matlab-january-iap-2019,"Introduction to MATLAB
                                   (January IAP 2019)",Undergraduate
6.061,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-061-introduction-to-electric-power-systems-spring-2011,"Introduction to Electric Power Systems
                                   (Spring 2011)",Undergraduate
6.07J,https://ocw.mit.edu//courses/health-sciences-and-technology/hst-410j-projects-in-microscale-engineering-for-the-life-sciences-spring-2007,"Projects in Microscale Engineering for the Life Sciences
                                   (Spring 2007)",Undergraduate
6.071J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-071j-introduction-to-electronics-signals-and-measurement-spring-2006,"Introduction to Electronics, Signals, and Measurement
                                   (Spring 2006)",Undergraduate
6.073,https://ocw.mit.edu//courses/comparative-media-studies-writing/cms-611j-creating-video-games-fall-2014,"Creating Video Games
                                   (Fall 2014)",Undergraduate
6.079,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-079-introduction-to-convex-optimization-fall-2009,"Introduction to Convex Optimization
                                   (Fall 2009)",Undergraduate
6.080,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-080-great-ideas-in-theoretical-computer-science-spring-2008,"Great Ideas in Theoretical Computer Science
                                   (Spring 2008)",Undergraduate
6.087,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-087-practical-programming-in-c-january-iap-2010,"Practical Programming in C
                                   (January IAP 2010)",Undergraduate
6.088,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-088-introduction-to-c-memory-management-and-c-object-oriented-programming-january-iap-2010,"Introduction to C Memory Management and C++ Object-Oriented Programming
                                   (January IAP 2010)",Undergraduate
6.089,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-080-great-ideas-in-theoretical-computer-science-spring-2008,"Great Ideas in Theoretical Computer Science
                                   (Spring 2008)",Undergraduate
6.090,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-090-building-programming-experience-a-lead-in-to-6-001-january-iap-2005,"Building Programming Experience: A Lead-In to 6.001
                                   (January IAP 2005)",Undergraduate
6.091,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-091-hands-on-introduction-to-electrical-engineering-lab-skills-january-iap-2008,"Hands-On Introduction to Electrical Engineering Lab Skills
                                   (January IAP 2008)",Undergraduate
6.092,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-092-introduction-to-programming-in-java-january-iap-2010,"Introduction to Programming in Java
                                   (January IAP 2010)",Undergraduate
6.092,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-092-java-preparation-for-6-170-january-iap-2006,"Java Preparation for 6.170
                                   (January IAP 2006)",Undergraduate
6.092,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-092-bioinformatics-and-proteomics-january-iap-2005,"Bioinformatics and Proteomics
                                   (January IAP 2005)",Undergraduate
6.096,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-096-introduction-to-c-january-iap-2011,"Introduction to C++
                                   (January IAP 2011)",Undergraduate
6.096,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-096-algorithms-for-computational-biology-spring-2005,"Algorithms for Computational Biology
                                   (Spring 2005)",Undergraduate
6.097,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-974-fundamentals-of-photonics-quantum-electronics-spring-2006,"Fundamentals of Photonics: Quantum Electronics
                                   (Spring 2006)",Undergraduate
6.099,https://ocw.mit.edu//courses/mathematics/18-098-street-fighting-mathematics-january-iap-2008,"Street-Fighting Mathematics
                                   (January IAP 2008)",Undergraduate
6.101,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-101-introductory-analog-electronics-laboratory-spring-2007,"Introductory Analog Electronics Laboratory
                                   (Spring 2007)",Undergraduate
6.111,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-111-introductory-digital-systems-laboratory-spring-2006,"Introductory Digital Systems Laboratory
                                   (Spring 2006)",Undergraduate
6.111,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-111-introductory-digital-systems-laboratory-fall-2002,"Introductory Digital Systems Laboratory
                                   (Fall 2002)",Undergraduate
6.152J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-152j-micro-nano-processing-technology-fall-2005,"Micro/Nano Processing Technology
                                   (Fall 2005)",Undergraduate
6.161,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-161-modern-optics-project-laboratory-fall-2005,"Modern Optics Project Laboratory
                                   (Fall 2005)",Undergraduate
6.163,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-163-strobe-project-laboratory-fall-2005,"Strobe Project Laboratory
                                   (Fall 2005)",Undergraduate
6.170,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-170-software-studio-spring-2013,"Software Studio
                                   (Spring 2013)",Undergraduate
6.170,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-170-laboratory-in-software-engineering-fall-2005,"Laboratory in Software Engineering
                                   (Fall 2005)",Undergraduate
6.171,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-171-software-engineering-for-web-applications-fall-2003,"Software Engineering for Web Applications
                                   (Fall 2003)",Undergraduate
6.172,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-172-performance-engineering-of-software-systems-fall-2018,"Performance Engineering of Software Systems
                                   (Fall 2018)",Undergraduate
6.186,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-186-mobile-autonomous-systems-laboratory-january-iap-2005,"Mobile Autonomous Systems Laboratory
                                   (January IAP 2005)",Undergraduate
6.189,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-189-a-gentle-introduction-to-programming-using-python-january-iap-2011,"A Gentle Introduction to Programming Using Python
                                   (January IAP 2011)",Undergraduate
6.189,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-189-a-gentle-introduction-to-programming-using-python-january-iap-2008,"A Gentle Introduction to Programming Using Python
                                   (January IAP 2008)",Undergraduate
6.189,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-189-multicore-programming-primer-january-iap-2007,"Multicore Programming Primer
                                   (January IAP 2007)",Undergraduate
6.207J,https://ocw.mit.edu//courses/economics/14-15j-networks-spring-2018,"Networks
                                   (Spring 2018)",Undergraduate
6.270,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-270-autonomous-robot-design-competition-january-iap-2005,"Autonomous Robot Design Competition
                                   (January IAP 2005)",Undergraduate
6.338J,https://ocw.mit.edu//courses/mathematics/18-337j-parallel-computing-fall-2011,"Parallel Computing
                                   (Fall 2011)",Undergraduate
6.370,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-370-the-battlecode-programming-competition-january-iap-2013,"The Battlecode Programming Competition
                                   (January IAP 2013)",Undergraduate
6.370,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-370-robocraft-programming-competition-january-iap-2005,"Robocraft Programming Competition
                                   (January IAP 2005)",Undergraduate
6.521J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-021j-quantitative-physiology-cells-and-tissues-fall-2004,"Quantitative Physiology: Cells and Tissues
                                   (Fall 2004)",Undergraduate
