model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,year,avg_mpg
NISSAN Rogue,2.5,4,Auto-AV,4WD,Gasoline,SUV,9,21,26,23,7,smart,2008,54.66666667
NISSAN Rogue,2.5,4,Auto-AV,2WD,Gasoline,SUV,6,22,27,24,7,smart,2008,57
NISSAN Rogue,2.5,4,Auto-AV,4WD,Gasoline,SUV,6,21,26,23,7,smart,2008,54.66666667
NISSAN Sentra,2,4,Man-6,2WD,Gasoline,midsize car,7,24,31,27,8,smart,2008,64
NISSAN Sentra,2,4,Auto-AV,2WD,Gasoline,midsize car,7,25,33,28,8,smart,2008,67.33333333
NISSAN Sentra,2.5,4,Man-6,2WD,Gasoline,midsize car,6,21,29,24,7,smart,2008,58
NISSAN Sentra,2.5,4,Auto-AV,2WD,Gasoline,midsize car,6,24,30,26,8,smart,2008,62.66666667
NISSAN Versa,1.8,4,Auto-L4,2WD,Gasoline,midsize car,7,24,32,27,8,smart,2008,65
NISSAN Versa,1.8,4,Man-6,2WD,Gasoline,midsize car,7,26,31,28,8,smart,2008,66.33333333
NISSAN Versa,1.8,4,Auto-AV,2WD,Gasoline,midsize car,7,27,33,29,8,smart,2008,69.66666667
PONTIAC G5,2.2,4,Auto-L4,2WD,Gasoline,small car,9.5,22,31,26,8,smart,2008,61.66666667
PONTIAC G5,2.2,4,Man-5,2WD,Gasoline,small car,9.5,24,33,27,8,smart,2008,66
PONTIAC G5,2.2,4,Auto-L4,2WD,Gasoline,small car,6,22,31,26,8,smart,2008,61.66666667
PONTIAC G5,2.2,4,Man-5,2WD,Gasoline,small car,6,24,33,27,8,smart,2008,66
PONTIAC G5,2.4,4,Auto-L4,2WD,Gasoline,small car,6,22,31,25,7,smart,2008,61.33333333
PONTIAC G5,2.4,4,Man-5,2WD,Gasoline,small car,6,22,32,26,8,smart,2008,62.66666667
PONTIAC G6,3.5,6,Auto-S4,2WD,Gasoline,small car,7,17,26,20,6,smart,2008,49.66666667
PONTIAC G6,3.5,6,Auto-L4,2WD,Gasoline,small car,7,18,29,22,6,smart,2008,54.33333333
PONTIAC G6,2.4,4,Auto-L4,2WD,Gasoline,small car,6,22,30,25,7,smart,2008,60.33333333
PONTIAC Grand Prix,3.8,6,Auto-L4,2WD,Gasoline,midsize car,9.5,18,28,21,6,smart,2008,53
PONTIAC Pursuit,2.2,4,Auto-L4,2WD,Gasoline,small car,9.5,22,31,26,8,smart,2008,61.66666667
PONTIAC Pursuit,2.2,4,Man-5,2WD,Gasoline,small car,9.5,24,33,27,8,smart,2008,66
PONTIAC Pursuit,2.2,4,Auto-L4,2WD,Gasoline,small car,6,22,31,26,8,smart,2008,61.66666667
PONTIAC Pursuit,2.2,4,Man-5,2WD,Gasoline,small car,6,24,33,27,8,smart,2008,66
PONTIAC Pursuit,2.4,4,Auto-L4,2WD,Gasoline,small car,6,22,31,25,7,smart,2008,61.33333333
PONTIAC Pursuit,2.4,4,Man-5,2WD,Gasoline,small car,6,22,32,26,8,smart,2008,62.66666667
PONTIAC Vibe,1.8,4,Auto-L4,2WD,Gasoline,station wagon,7,25,31,27,8,smart,2008,65
PONTIAC Vibe,1.8,4,Man-5,2WD,Gasoline,station wagon,7,26,33,29,8,smart,2008,68.66666667
PORSCHE Boxster,2.7,6,Auto-L5,2WD,Gasoline,small car,7,19,26,21,6,smart,2008,52
PORSCHE Boxster,2.7,6,Man-6,2WD,Gasoline,small car,7,19,28,22,6,smart,2008,54.33333333
PORSCHE Boxster,2.7,6,Man-5,2WD,Gasoline,small car,7,20,29,23,7,smart,2008,56.66666667
PORSCHE Boxster S,3.4,6,Auto-L5,2WD,Gasoline,small car,7,18,25,21,6,smart,2008,50
PORSCHE Boxster S,3.4,6,Man-6,2WD,Gasoline,small car,7,18,26,21,6,smart,2008,51
PORSCHE Cayman,2.7,6,Auto-L5,2WD,Gasoline,small car,7,19,26,21,6,smart,2008,52
PORSCHE Cayman,2.7,6,Man-6,2WD,Gasoline,small car,7,19,28,22,6,smart,2008,54.33333333
PORSCHE Cayman,2.7,6,Man-5,2WD,Gasoline,small car,7,20,29,23,7,smart,2008,56.66666667
PORSCHE Cayman S,3.4,6,Auto-L5,2WD,Gasoline,small car,7,18,25,21,6,smart,2008,50
PORSCHE Cayman S,3.4,6,Man-6,2WD,Gasoline,small car,7,18,26,21,6,smart,2008,51
SAAB 9-3 Sport Sedan,2,4,Man-6,2WD,Gasoline,small car,6,19,29,23,7,smart,2008,55.66666667
SAAB 9-3 Sportcombi,2,4,Man-6,2WD,Gasoline,station wagon,6,19,29,23,7,smart,2008,55.66666667
SATURN Aura,3.5,6,Auto-L4,2WD,Gasoline,midsize car,7,18,29,22,6,smart,2008,54.33333333
SATURN Aura,2.4,4,Auto-L4,2WD,Gasoline,midsize car,6,22,30,25,7,smart,2008,60.33333333
SATURN Aura Hybrid,2.4,4,Auto-L4,2WD,Gasoline,midsize car,6,24,32,27,8,smart,2008,65
SUBARU Forester,2.5,4,Auto-L4,4WD,Gasoline,SUV,9.5,20,26,22,6,smart,2008,53.33333333
SUBARU Forester,2.5,4,Man-5,4WD,Gasoline,SUV,9.5,20,27,22,6,smart,2008,54.33333333
SUBARU Legacy,2.5,4,Man-5,4WD,Gasoline,small car,9.5,20,27,22,6,smart,2008,54.33333333
SUBARU Legacy,2.5,4,Auto-S4,4WD,Gasoline,small car,9.5,20,27,22,6,smart,2008,54.33333333
SUBARU Outback Wagon,2.5,4,Man-5,4WD,Gasoline,SUV,9.5,19,26,22,6,smart,2008,52.33333333
SUBARU Outback Wagon,2.5,4,Auto-S4,4WD,Gasoline,SUV,9.5,20,26,22,6,smart,2008,53.33333333
SUZUKI SX4,2,4,Man-5,2WD,Gasoline,small car,6,22,30,25,7,smart,2008,60.33333333
SUZUKI SX4,2,4,Auto-L4,2WD,Gasoline,small car,6,23,31,26,8,smart,2008,62.66666667
SUZUKI SX4,2,4,Man-5,4WD,Gasoline,station wagon,6,21,28,24,7,smart,2008,57
SUZUKI SX4,2,4,Auto-L4,4WD,Gasoline,station wagon,6,21,28,24,7,smart,2008,57
SUZUKI SX4,2,4,Man-5,2WD,Gasoline,station wagon,6,22,30,25,7,smart,2008,60.33333333
SUZUKI SX4,2,4,Auto-L4,2WD,Gasoline,station wagon,6,22,30,25,7,smart,2008,60.33333333
TOYOTA Avalon,3.5,6,Auto-S6,2WD,Gasoline,large car,7,19,28,22,6,smart,2008,54.33333333
TOYOTA Camry,2.4,4,Auto-L5,2WD,Gasoline,midsize car,9.5,21,31,25,7,smart,2008,60.33333333
TOYOTA Camry,2.4,4,Man-5,2WD,Gasoline,midsize car,7,21,31,25,7,smart,2008,60.33333333
TOYOTA Camry,2.4,4,Auto-L5,2WD,Gasoline,midsize car,7,21,31,25,7,smart,2008,60.33333333
TOYOTA Camry,3.5,6,Auto-S6,2WD,Gasoline,midsize car,7,19,28,22,6,smart,2008,54.33333333
TOYOTA Camry Hybrid,2.4,4,Auto-AV,2WD,Gasoline,midsize car,9.5,33,34,34,9,smart,2008,78.33333333
TOYOTA Corolla,1.8,4,Auto-L4,2WD,Gasoline,small car,7,26,35,29,8,smart,2008,70.66666667
TOYOTA Corolla,1.8,4,Man-5,2WD,Gasoline,small car,7,28,37,31,9,smart,2008,75.33333333
TOYOTA Highlander,3.5,6,Auto-S5,2WD,Gasoline,SUV,7,18,24,20,6,smart,2008,48.66666667
TOYOTA Highlander Hybrid,3.3,6,Auto-AV,4WD,Gasoline,SUV,9,27,25,26,8,smart,2008,60.66666667
TOYOTA Matrix,1.8,4,Auto-L4,2WD,Gasoline,station wagon,7,25,31,27,8,smart,2008,65
TOYOTA Matrix,1.8,4,Man-5,2WD,Gasoline,station wagon,7,26,33,29,8,smart,2008,68.66666667
TOYOTA Prius,1.5,4,Auto-AV,2WD,Gasoline,midsize car,9.5,48,45,46,10,smart,2008,108.3333333
TOYOTA RAV4,2.4,4,Auto-L4,2WD,Gasoline,SUV,7,21,27,24,7,smart,2008,56
TOYOTA RAV4,2.4,4,Auto-L4,4WD,Gasoline,SUV,7,20,25,22,6,smart,2008,52.33333333
TOYOTA RAV4,3.5,6,Auto-L5,2WD,Gasoline,SUV,7,19,27,22,6,smart,2008,53.33333333
TOYOTA RAV4,3.5,6,Auto-L5,4WD,Gasoline,SUV,7,19,26,21,6,smart,2008,52
TOYOTA Scion TC,2.4,4,Man-5,2WD,Gasoline,small car,7,20,27,23,7,smart,2008,54.66666667
TOYOTA Scion TC,2.4,4,Auto-L4,2WD,Gasoline,small car,7,21,29,24,7,smart,2008,58
TOYOTA Scion XB,2.4,4,Auto-S4,2WD,Gasoline,station wagon,7,22,28,24,7,smart,2008,58
TOYOTA Scion XB,2.4,4,Man-5,2WD,Gasoline,station wagon,7,22,28,24,7,smart,2008,58
TOYOTA Scion XD,1.8,4,Auto-L4,2WD,Gasoline,small car,6,26,32,28,8,smart,2008,67.33333333
TOYOTA Scion XD,1.8,4,Man-5,2WD,Gasoline,small car,6,27,33,29,8,smart,2008,69.66666667
TOYOTA Solara,2.4,4,Man-5,2WD,Gasoline,small car,7,21,31,25,7,smart,2008,60.33333333
TOYOTA Solara,2.4,4,Auto-S5,2WD,Gasoline,small car,7,22,31,25,7,smart,2008,61.33333333
TOYOTA Solara,3.3,6,Auto-S5,2WD,Gasoline,small car,7,18,27,21,6,smart,2008,52
TOYOTA Solara Convertible,3.3,6,Auto-S5,2WD,Gasoline,small car,7,18,26,21,6,smart,2008,51
TOYOTA Yaris,1.5,4,Auto-L4,2WD,Gasoline,small car,7,29,35,31,9,smart,2008,74.33333333
TOYOTA Yaris,1.5,4,Man-5,2WD,Gasoline,small car,7,29,36,32,9,smart,2008,75.66666667
VOLKSWAGEN Eos,2,4,Man-6,2WD,Gasoline,small car,7,21,29,24,7,smart,2008,58
VOLKSWAGEN Eos,2,4,Auto-S6,2WD,Gasoline,small car,7,21,30,24,7,smart,2008,59
VOLKSWAGEN GTI,2,4,Man-6,2WD,Gasoline,small car,7,21,29,24,7,smart,2008,58
VOLKSWAGEN GTI,2,4,Auto-S6,2WD,Gasoline,small car,7,22,29,25,7,smart,2008,59.33333333
VOLKSWAGEN Jetta,2.5,5,Man-5,2WD,Gasoline,small car,9.5,21,29,24,7,smart,2008,58
VOLKSWAGEN Jetta,2.5,5,Auto-S6,2WD,Gasoline,small car,9.5,21,29,24,7,smart,2008,58
VOLKSWAGEN Jetta,2,4,Man-6,2WD,Gasoline,small car,7,21,29,24,7,smart,2008,58
VOLKSWAGEN Jetta,2,4,Auto-S6,2WD,Gasoline,small car,7,22,29,25,7,smart,2008,59.33333333
VOLKSWAGEN Jetta,2.5,5,Man-5,2WD,Gasoline,small car,7,21,29,24,7,smart,2008,58
VOLKSWAGEN Jetta,2.5,5,Auto-S6,2WD,Gasoline,small car,7,21,29,24,7,smart,2008,58
VOLKSWAGEN Jetta Wagon,2.5,5,Man-5,2WD,Gasoline,station wagon,9.5,21,29,24,7,smart,2008,58
VOLKSWAGEN Jetta Wagon,2.5,5,Auto-S6,2WD,Gasoline,station wagon,9.5,21,29,24,7,smart,2008,58
VOLKSWAGEN Jetta Wagon,2.5,5,Man-5,2WD,Gasoline,station wagon,7,21,29,24,7,smart,2008,58
VOLKSWAGEN Jetta Wagon,2.5,5,Auto-S6,2WD,Gasoline,station wagon,7,21,29,24,7,smart,2008,58
VOLKSWAGEN New Beetle,2.5,5,Man-5,2WD,Gasoline,small car,9.5,20,28,23,7,smart,2008,55.66666667
VOLKSWAGEN New Beetle,2.5,5,Auto-S6,2WD,Gasoline,small car,9.5,20,29,23,7,smart,2008,56.66666667
VOLKSWAGEN New Beetle,2.5,5,Man-5,2WD,Gasoline,small car,7,20,28,23,7,smart,2008,55.66666667
VOLKSWAGEN New Beetle,2.5,5,Auto-S6,2WD,Gasoline,small car,7,20,29,23,7,smart,2008,56.66666667
VOLKSWAGEN New Beetle Convertible,2.5,5,Auto-S6,2WD,Gasoline,small car,9.5,20,28,23,7,smart,2008,55.66666667
VOLKSWAGEN New Beetle Convertible,2.5,5,Man-5,2WD,Gasoline,small car,9.5,20,28,23,7,smart,2008,55.66666667
VOLKSWAGEN New Beetle Convertible,2.5,5,Auto-S6,2WD,Gasoline,small car,7,20,28,23,7,smart,2008,55.66666667
VOLKSWAGEN New Beetle Convertible,2.5,5,Man-5,2WD,Gasoline,small car,7,20,28,23,7,smart,2008,55.66666667
VOLKSWAGEN Passat,2,4,Auto-S6,2WD,Gasoline,midsize car,7,19,28,22,6,smart,2008,54.33333333
VOLKSWAGEN Passat,2,4,Man-6,2WD,Gasoline,midsize car,7,21,29,24,7,smart,2008,58
VOLKSWAGEN Passat Wagon,2,4,Auto-S6,2WD,Gasoline,station wagon,7,20,28,23,7,smart,2008,55.66666667
VOLKSWAGEN Passat Wagon,2,4,Man-6,2WD,Gasoline,station wagon,7,21,29,24,7,smart,2008,58
VOLKSWAGEN Rabbit,2.5,5,Auto-S6,2WD,Gasoline,small car,9.5,21,29,24,7,smart,2008,58
VOLKSWAGEN Rabbit,2.5,5,Man-5,2WD,Gasoline,small car,9.5,22,29,24,7,smart,2008,59
VOLKSWAGEN Rabbit,2.5,5,Auto-S6,2WD,Gasoline,small car,7,21,29,24,7,smart,2008,58
VOLKSWAGEN Rabbit,2.5,5,Man-5,2WD,Gasoline,small car,7,22,29,24,7,smart,2008,59
VOLVO C30,2.4,5,Auto-S5,2WD,Gasoline,small car,7,20,28,23,7,smart,2008,55.66666667
VOLVO C30,2.4,5,Man-5,2WD,Gasoline,small car,7,20,28,23,7,smart,2008,55.66666667
VOLVO C30,2.5,5,Auto-S5,2WD,Gasoline,small car,7,19,27,22,6,smart,2008,53.33333333
VOLVO C30,2.5,5,Man-6,2WD,Gasoline,small car,7,19,28,23,7,smart,2008,54.66666667
VOLVO C70 Convertible,2.5,5,Auto-S5,2WD,Gasoline,small car,7,18,26,21,6,smart,2008,51
VOLVO C70 Convertible,2.5,5,Man-6,2WD,Gasoline,small car,7,18,27,21,6,smart,2008,52
VOLVO S40,2.4,5,Auto-S5,2WD,Gasoline,small car,9.5,20,28,23,7,smart,2008,55.66666667
VOLVO S40,2.4,5,Auto-S5,2WD,Gasoline,small car,7,20,28,23,7,smart,2008,55.66666667
VOLVO S40,2.4,5,Man-5,2WD,Gasoline,small car,7,20,28,23,7,smart,2008,55.66666667
VOLVO S40,2.5,5,Man-6,4WD,Gasoline,small car,7,17,25,20,6,smart,2008,48.66666667
VOLVO S40,2.5,5,Auto-S5,4WD,Gasoline,small car,7,18,26,21,6,smart,2008,51
VOLVO S40,2.5,5,Auto-S5,2WD,Gasoline,small car,7,19,27,22,6,smart,2008,53.33333333
VOLVO S40,2.5,5,Man-6,2WD,Gasoline,small car,7,19,28,23,7,smart,2008,54.66666667
VOLVO S60,2.5,5,Auto-L5,4WD,Gasoline,small car,7,17,26,21,6,smart,2008,50
VOLVO S60,2.5,5,Auto-S5,4WD,Gasoline,small car,7,18,26,21,6,smart,2008,51
VOLVO S60,2.5,5,Auto-L5,2WD,Gasoline,small car,7,19,27,22,6,smart,2008,53.33333333
VOLVO S60,2.5,5,Auto-S5,2WD,Gasoline,small car,7,19,27,22,6,smart,2008,53.33333333
VOLVO V50,2.4,5,Auto-S5,2WD,Gasoline,station wagon,9.5,20,28,23,7,smart,2008,55.66666667
VOLVO V50,2.4,5,Auto-S5,2WD,Gasoline,station wagon,7,20,28,23,7,smart,2008,55.66666667
VOLVO V50,2.4,5,Man-5,2WD,Gasoline,station wagon,7,20,28,23,7,smart,2008,55.66666667
VOLVO V50,2.5,5,Man-6,4WD,Gasoline,station wagon,7,17,25,20,6,smart,2008,48.66666667
VOLVO V50,2.5,5,Auto-S5,4WD,Gasoline,station wagon,7,18,26,21,6,smart,2008,51
VOLVO V50,2.5,5,Auto-S5,2WD,Gasoline,station wagon,7,19,27,22,6,smart,2008,53.33333333
VOLVO V50,2.5,5,Man-6,2WD,Gasoline,station wagon,7,19,28,23,7,smart,2008,54.66666667
AUDI A4 Ultra,2,4,AMS-7,2WD,Gasoline,small car,3,27,37,31,7,smart,2018,74.33333333
BUICK Encore,1.4,4,SemiAuto-6,2WD,Gasoline,small SUV,3,27,33,30,7,smart,2018,70
CHEVROLET Cruze,1.4,4,Man-6,2WD,Gasoline,small car,6,27,40,32,7,smart,2018,77.66666667
CHEVROLET Cruze,1.4,4,SemiAuto-6,2WD,Gasoline,small car,6,29,40,33,8,smart,2018,80
CHEVROLET Cruze,1.6,4,Auto-9,2WD,Diesel,small car,3,31,47,37,7,smart,2018,90.33333333
CHEVROLET Cruze,1.6,4,Man-6,2WD,Diesel,small car,3,30,52,37,7,smart,2018,94.33333333
CHEVROLET Cruze Hatchback,1.4,4,Man-6,2WD,Gasoline,midsize car,6,27,38,31,7,smart,2018,75.33333333
CHEVROLET Cruze Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,midsize car,6,29,38,32,7,smart,2018,77.66666667
CHEVROLET Cruze Hatchback,1.6,4,Auto-9,2WD,Diesel,midsize car,3,30,45,35,7,smart,2018,86.66666667
CHEVROLET Cruze Hatchback,1.6,4,Man-6,2WD,Diesel,midsize car,3,29,48,35,7,smart,2018,88.66666667
CHEVROLET Cruze Premier,1.4,4,SemiAuto-6,2WD,Gasoline,small car,6,29,39,33,8,smart,2018,79
CHEVROLET Cruze Premier Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,midsize car,6,28,37,31,7,smart,2018,75.33333333
CHEVROLET Malibu,1.5,4,Auto-6,2WD,Gasoline,midsize car,6,27,36,30,7,smart,2018,73
CHEVROLET Malibu,1.5,4,Auto-6,2WD,Gasoline,midsize car,7,27,36,30,7,smart,2018,73
CHEVROLET Malibu,1.8,4,CVT,2WD,Gasoline,midsize car,3,49,43,46,10,smart,2018,107.3333333
CHEVROLET Sonic,1.4,4,Man-6,2WD,Gasoline,small car,3,28,37,32,7,smart,2018,75.66666667
CHEVROLET Sonic,1.4,4,SemiAuto-6,2WD,Gasoline,small car,3,27,35,30,7,smart,2018,72
CHEVROLET Sonic 5,1.4,4,Man-6,2WD,Gasoline,station wagon,3,28,37,32,7,smart,2018,75.66666667
CHEVROLET Sonic 5,1.4,4,SemiAuto-6,2WD,Gasoline,station wagon,3,27,35,30,7,smart,2018,72
FORD Fusion Hybrid,2,4,CVT,2WD,Gasoline,midsize car,7,43,41,42,9,smart,2018,98
HONDA Civic 5Dr,1.5,4,CVT,2WD,Gasoline,large car,7,31,40,34,8,smart,2018,82.33333333
HONDA Civic 5Dr,1.5,4,CVT,2WD,Gasoline,large car,3,31,40,34,8,smart,2018,82.33333333
HONDA Civic 5Dr,1.5,4,Man-6,2WD,Gasoline,large car,3,29,38,33,8,smart,2018,78
HONDA Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,large car,7,30,36,32,7,smart,2018,76.66666667
HONDA Civic 5Dr,1.5,4,SCV-7,2WD,Gasoline,large car,3,30,36,32,7,smart,2018,76.66666667
HONDA Fit,1.5,4,CVT,2WD,Gasoline,station wagon,7,33,40,36,8,smart,2018,85
HONDA Fit,1.5,4,Man-6,2WD,Gasoline,station wagon,3,29,36,31,7,smart,2018,75.33333333
HONDA Fit,1.5,4,SCV-7,2WD,Gasoline,station wagon,7,31,36,33,8,smart,2018,78
HONDA HR-V,1.8,4,CVT,2WD,Gasoline,station wagon,3,28,34,31,7,smart,2018,72.33333333
HONDA HR-V,1.8,4,SCV-7,2WD,Gasoline,station wagon,3,28,34,31,7,smart,2018,72.33333333
HYUNDAI Elantra,1.4,4,AutoMan-7,2WD,Gasoline,midsize car,3,32,40,35,8,smart,2018,83.66666667
HYUNDAI Elantra,2,4,SemiAuto-6,2WD,Gasoline,midsize car,7,28,37,32,7,smart,2018,75.66666667
HYUNDAI Elantra,2,4,SemiAuto-6,2WD,Gasoline,midsize car,5,28,37,32,7,smart,2018,75.66666667
HYUNDAI Elantra SE,2,4,SemiAuto-6,2WD,Gasoline,midsize car,7,29,38,33,8,smart,2018,78
HYUNDAI Elantra SE,2,4,SemiAuto-6,2WD,Gasoline,midsize car,5,29,38,33,8,smart,2018,78
HYUNDAI Sonata,1.6,4,AutoMan-7,2WD,Gasoline,large car,5,28,37,31,7,smart,2018,75.33333333
INFINITI Q70 Hybrid,3.5,6,SemiAuto-7,2WD,Gasoline,midsize car,3,28,33,30,7,smart,2018,71
KIA Forte,2,4,SemiAuto-6,2WD,Gasoline,midsize car,7,29,37,32,7,smart,2018,76.66666667
KIA Forte,2,4,SemiAuto-6,2WD,Gasoline,midsize car,5,29,37,32,7,smart,2018,76.66666667
KIA Optima,1.6,4,AutoMan-7,2WD,Gasoline,large car,3,28,37,31,7,smart,2018,75.33333333
KIA Rio,1.6,4,Man-6,2WD,Gasoline,small car,3,29,37,32,7,smart,2018,76.66666667
KIA Rio,1.6,4,SemiAuto-6,2WD,Gasoline,small car,3,28,37,32,7,smart,2018,75.66666667
LEXUS LC 500h,3.5,6,SCV-10,2WD,Gasoline,small car,7,26,35,30,7,smart,2018,71
MAZDA 3,2,4,Man-6,2WD,Gasoline,midsize car,7,27,37,31,7,smart,2018,74.33333333
MAZDA 3,2,4,Man-6,2WD,Gasoline,small car,7,28,38,31,7,smart,2018,76.33333333
MAZDA 3,2,4,SemiAuto-6,2WD,Gasoline,midsize car,7,28,37,32,7,smart,2018,75.66666667
MAZDA 3,2,4,SemiAuto-6,2WD,Gasoline,small car,7,28,37,31,7,smart,2018,75.33333333
MAZDA 3,2.5,4,SemiAuto-6,2WD,Gasoline,midsize car,7,26,35,30,7,smart,2018,71
MAZDA 3,2.5,4,SemiAuto-6,2WD,Gasoline,small car,7,27,36,30,7,smart,2018,73
MAZDA CX-3,2,4,SemiAuto-6,2WD,Gasoline,small car,3,29,34,31,7,smart,2018,73.33333333
MINI Cooper Convertible,1.5,3,Man-6,2WD,Gasoline,small car,7,28,37,32,7,smart,2018,75.66666667
MINI Cooper Convertible,1.5,3,SemiAuto-6,2WD,Gasoline,small car,7,27,35,30,7,smart,2018,72
MINI Cooper Hardtop,1.5,3,Man-6,2WD,Gasoline,small car,7,28,37,32,7,smart,2018,75.66666667
MINI Cooper Hardtop,1.5,3,Man-6,2WD,Gasoline,small car,7,28,38,32,7,smart,2018,76.66666667
MINI Cooper Hardtop,1.5,3,SemiAuto-6,2WD,Gasoline,small car,7,27,35,30,7,smart,2018,72
MITSUBISHI Mirage,1.2,3,CVT,2WD,Gasoline,small car,5,37,43,39,9,smart,2018,93
MITSUBISHI Mirage,1.2,3,Man-5,2WD,Gasoline,small car,5,33,41,36,8,smart,2018,86
MITSUBISHI Mirage G4,1.2,3,CVT,2WD,Gasoline,small car,5,35,41,37,8,smart,2018,88.33333333
MITSUBISHI Mirage G4,1.2,3,Man-5,2WD,Gasoline,small car,5,33,40,35,8,smart,2018,84.66666667
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,small car,3,31,39,34,8,smart,2018,81.33333333
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,small car,5,31,39,34,8,smart,2018,81.33333333
NISSAN Versa,1.6,4,Man-5,2WD,Gasoline,small car,3,27,36,30,7,smart,2018,73
NISSAN Versa,1.6,4,Man-5,2WD,Gasoline,small car,5,27,36,30,7,smart,2018,73
SUBARU Impreza,2,4,SCV-7,4WD,Gasoline,midsize car,7,28,38,32,7,smart,2018,76.66666667
SUBARU Impreza,2,4,SCV-7,4WD,Gasoline,station wagon,7,28,37,31,7,smart,2018,75.33333333
SUBARU Impreza Sport,2,4,SCV-7,4WD,Gasoline,midsize car,7,27,36,30,7,smart,2018,73
SUBARU Impreza Sport,2,4,SCV-7,4WD,Gasoline,station wagon,7,27,35,30,7,smart,2018,72
TOYOTA Avalon Hybrid,2.5,4,SCV-6,2WD,Gasoline,midsize car,7,40,39,40,9,smart,2018,92.33333333
TOYOTA Camry,2.5,4,SemiAuto-8,2WD,Gasoline,midsize car,7,29,41,34,8,smart,2018,81.33333333
TOYOTA Camry Hybrid LE,2.5,4,SCV-6,2WD,Gasoline,midsize car,7,51,53,52,10,smart,2018,121.3333333
TOYOTA Camry Hybrid XLE/SE,2.5,4,SCV-6,2WD,Gasoline,midsize car,7,44,47,46,10,smart,2018,106.3333333
TOYOTA Camry LE/SE,2.5,4,SemiAuto-8,2WD,Gasoline,midsize car,7,28,39,32,7,smart,2018,77.66666667
TOYOTA Camry XLE/XSE,2.5,4,SemiAuto-8,2WD,Gasoline,midsize car,7,28,39,32,7,smart,2018,77.66666667
TOYOTA Corolla,1.8,4,CVT,2WD,Gasoline,midsize car,3,28,36,32,7,smart,2018,74.66666667
TOYOTA Corolla,1.8,4,Man-6,2WD,Gasoline,midsize car,3,27,35,30,7,smart,2018,72
TOYOTA Corolla,1.8,4,SCV-7,2WD,Gasoline,midsize car,3,28,35,31,7,smart,2018,73.33333333
TOYOTA Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,midsize car,5,29,38,33,8,smart,2018,78
TOYOTA Corolla LE Eco,1.8,4,CVT,2WD,Gasoline,midsize car,5,30,40,34,8,smart,2018,81.33333333
TOYOTA Corolla iM,1.8,4,Man-6,2WD,Gasoline,midsize car,5,27,35,30,7,smart,2018,72
TOYOTA Corolla iM,1.8,4,SCV-7,2WD,Gasoline,midsize car,5,28,36,31,7,smart,2018,74.33333333
TOYOTA Prius c,1.5,4,CVT,2WD,Gasoline,small car,7,48,43,46,10,smart,2018,106.3333333
TOYOTA RAV4 Hybrid,2.5,4,SCV-6,4WD,Gasoline,small SUV,7,34,30,32,7,smart,2018,74.66666667
TOYOTA Yaris,1.5,4,Auto-4,2WD,Gasoline,small car,3,30,35,32,7,smart,2018,75.66666667
TOYOTA Yaris,1.5,4,Man-5,2WD,Gasoline,small car,3,30,36,33,8,smart,2018,77
VOLKSWAGEN Jetta,1.4,4,Man-5,2WD,Gasoline,small car,3,28,40,33,8,smart,2018,79
VOLKSWAGEN Jetta,1.4,4,SemiAuto-6,2WD,Gasoline,small car,5,28,38,32,7,smart,2018,76.66666667
BMW 330e,2,4,SemiAuto-8,2WD,Gasoline,small car,3,28,34,30,10,smart,2018,72
BMW 530e,2,4,SemiAuto-8,2WD,Gasoline,small car,7,27,31,29,10,smart,2018,67.66666667
BMW 530e,2,4,SemiAuto-8,4WD,Gasoline,small car,7,27,31,28,10,smart,2018,67.33333333
BMW 740e,2,4,SemiAuto-8,4WD,Gasoline,large car,3,25,29,27,9,smart,2018,63
CHEVROLET Volt,1.5,4,CVT,2WD,Gasoline,small car,3,43,42,42,10,smart,2018,99
CHEVROLET Volt,1.5,4,CVT,2WD,Gasoline,small car,7,43,42,42,10,smart,2018,99
FORD Fusion Energi Plug-in Hybrid,2,4,CVT,2WD,Gasoline,midsize car,7,43,41,42,10,smart,2018,98
MINI Cooper SE Countryman All4,1.5,3,SemiAuto-6,4WD,Gasoline,midsize car,3,28,27,27,9,smart,2018,64
VOLVO S90,2,4,SemiAuto-8,4WD,Gasoline,midsize car,7,26,33,29,10,smart,2018,68.66666667
VOLVO XC 60,2,4,SemiAuto-8,4WD,Gasoline,small SUV,7,26,28,26,10,smart,2018,62.66666667
VOLVO XC 90,2,4,SemiAuto-8,4WD,Gasoline,standard SUV,7,26,30,27,10,smart,2018,65
BMW 330e,2,4,SemiAuto-8,2WD,Electricity,small car,3,66,78,71,10,smart,2018,167.6666667
BMW 530e,2,4,SemiAuto-8,2WD,Electricity,small car,7,70,75,72,10,smart,2018,169
BMW 530e,2,4,SemiAuto-8,4WD,Electricity,small car,7,66,68,67,10,smart,2018,156.3333333
BMW 740e,2,4,SemiAuto-8,4WD,Electricity,large car,3,62,68,64,9,smart,2018,151.3333333
