model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,year,avg_mpg
CHEVROLET Cobalt,2.2,4,Man-5,2WD,Gasoline,small car,6,24,33,27,8,smart,2008,66
CHEVROLET Cobalt,2.4,4,Auto-L4,2WD,Gasoline,small car,6,22,31,25,7,smart,2008,61.33333333
CHEVROLET Cobalt,2.4,4,Man-5,2WD,Gasoline,small car,6,22,32,26,8,smart,2008,62.66666667
CHEVROLET HHR,2.2,4,Man-5,2WD,Gasoline,SUV,7,20,30,24,7,smart,2008,58
CHEVROLET HHR,2.2,4,Man-5,2WD,Gasoline,SUV,7,21,30,24,7,smart,2008,59
CHEVROLET HHR,2.2,4,Auto-L4,2WD,Gasoline,SUV,7,22,30,25,7,smart,2008,60.33333333
CHEVROLET HHR,2.4,4,Man-5,2WD,Gasoline,SUV,7,20,28,23,7,smart,2008,55.66666667
CHEVROLET HHR,2.4,4,Man-5,2WD,Gasoline,SUV,7,20,29,23,7,smart,2008,56.66666667
CHEVROLET HHR,2.4,4,Auto-L4,2WD,Gasoline,SUV,7,22,28,24,7,smart,2008,58
CHEVROLET Impala,3.5,6,Auto-L4,2WD,Gasoline,large car,9.5,18,29,22,6,smart,2008,54.33333333
CHEVROLET Malibu,3.5,6,Auto-L4,2WD,Gasoline,midsize car,7,18,29,22,6,smart,2008,54.33333333
CHEVROLET Malibu,2.4,4,Auto-L4,2WD,Gasoline,midsize car,6,22,30,25,7,smart,2008,60.33333333
CHEVROLET Malibu Hybrid,2.4,4,Auto-L4,2WD,Gasoline,midsize car,6,24,32,27,8,smart,2008,65
CHRYSLER 300,3.5,6,Auto-L5,2WD,Gasoline,large car,7,17,24,20,6,smart,2008,47.66666667
CHRYSLER 300,3.5,6,Auto-L4,2WD,Gasoline,large car,7,17,24,20,6,smart,2008,47.66666667
CHRYSLER PT Cruiser,2.4,4,Auto-L4,2WD,Gasoline,SUV,7,18,24,21,6,smart,2008,49
CHRYSLER PT Cruiser,2.4,4,Auto-L4,2WD,Gasoline,SUV,7,19,24,21,6,smart,2008,50
CHRYSLER PT Cruiser,2.4,4,Man-5,2WD,Gasoline,SUV,7,20,25,22,6,smart,2008,52.33333333
CHRYSLER PT Cruiser,2.4,4,Man-5,2WD,Gasoline,SUV,6,21,26,23,7,smart,2008,54.66666667
CHRYSLER PT Cruiser Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,7,18,24,21,6,smart,2008,49
CHRYSLER PT Cruiser Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,7,19,24,21,6,smart,2008,50
CHRYSLER PT Cruiser Convertible,2.4,4,Man-5,2WD,Gasoline,small car,7,20,25,22,6,smart,2008,52.33333333
CHRYSLER PT Cruiser Convertible,2.4,4,Man-5,2WD,Gasoline,small car,6,21,26,23,7,smart,2008,54.66666667
CHRYSLER SRT-8,3.5,6,Auto-L5,2WD,Gasoline,large car,7,17,24,20,6,smart,2008,47.66666667
CHRYSLER SRT-8,3.5,6,Auto-L4,2WD,Gasoline,large car,7,17,24,20,6,smart,2008,47.66666667
CHRYSLER Sebring,2.4,4,Auto-L4,2WD,Gasoline,midsize car,7,21,30,24,7,smart,2008,59
CHRYSLER Sebring,2.4,4,Auto-L4,2WD,Gasoline,midsize car,6,21,30,24,7,smart,2008,59
CHRYSLER Sebring Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,7,20,29,23,7,smart,2008,56.66666667
CHRYSLER Sebring Convertible,2.4,4,Auto-L4,2WD,Gasoline,small car,6,20,29,23,7,smart,2008,56.66666667
DODGE Avenger,2.4,4,Auto-L4,2WD,Gasoline,midsize car,7,21,30,24,7,smart,2008,59
DODGE Avenger,2.4,4,Auto-L4,2WD,Gasoline,midsize car,6,21,30,24,7,smart,2008,59
DODGE Caliber,2.4,4,Auto-AV,4WD,Gasoline,midsize car,7,21,24,22,6,smart,2008,52.33333333
DODGE Caliber,2.4,4,Auto-AV,2WD,Gasoline,midsize car,7,21,25,23,7,smart,2008,53.66666667
DODGE Caliber,2,4,Auto-AV,2WD,Gasoline,midsize car,6,23,27,24,7,smart,2008,58
DODGE Caliber,2.4,4,Auto-AV,2WD,Gasoline,midsize car,6,21,25,23,7,smart,2008,53.66666667
DODGE Charger,3.5,6,Auto-L5,2WD,Gasoline,large car,7,17,24,20,6,smart,2008,47.66666667
DODGE Charger,3.5,6,Auto-L4,2WD,Gasoline,large car,7,17,24,20,6,smart,2008,47.66666667
DODGE Magnum,3.5,6,Auto-L5,2WD,Gasoline,SUV,7,17,24,20,6,smart,2008,47.66666667
DODGE Magnum,3.5,6,Auto-L4,2WD,Gasoline,SUV,7,17,24,20,6,smart,2008,47.66666667
FORD Escape,2.3,4,Man-5,2WD,Gasoline,SUV,7,22,28,24,7,smart,2008,58
FORD Escape Hybrid,2.3,4,Auto-AV,2WD,Gasoline,SUV,9.5,34,30,32,9,smart,2008,74.66666667
FORD Escape Hybrid,2.3,4,Auto-AV,4WD,Gasoline,SUV,9.5,29,27,28,8,smart,2008,65.33333333
FORD Focus,2,4,Auto-L4,2WD,Gasoline,small car,9.5,24,33,28,8,smart,2008,66.33333333
FORD Focus,2,4,Man-5,2WD,Gasoline,small car,9.5,24,35,28,8,smart,2008,68.33333333
FORD Fusion,2.3,4,Auto-L5,2WD,Gasoline,midsize car,9.5,20,28,23,7,smart,2008,55.66666667
FORD Fusion,3,6,Auto-L6,4WD,Gasoline,midsize car,7,17,25,20,6,smart,2008,48.66666667
FORD Fusion,3,6,Auto-L6,2WD,Gasoline,midsize car,7,18,26,21,6,smart,2008,51
FORD Mustang,4,6,Man-5,2WD,Gasoline,small car,7,17,26,20,6,smart,2008,49.66666667
FORD Ranger,2.3,4,Auto-L5,2WD,Gasoline,pickup,7,19,24,21,6,smart,2008,50
FORD Ranger,2.3,4,Man-5,2WD,Gasoline,pickup,7,21,26,23,7,smart,2008,54.66666667
FORD Taurus,3.5,6,Auto-L6,2WD,Gasoline,large car,9.5,18,28,22,6,smart,2008,53.33333333
HONDA Accord,2.4,4,Auto-L5,2WD,Gasoline,large car,9.5,21,31,24,7,smart,2008,60
HONDA Accord,2.4,4,Auto-L5,2WD,Gasoline,small car,9.5,21,30,24,7,smart,2008,59
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,large car,9.5,19,29,22,6,smart,2008,55.33333333
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,small car,9.5,19,28,22,6,smart,2008,54.33333333
HONDA Accord,2.4,4,Auto-L5,2WD,Gasoline,large car,7,21,31,24,7,smart,2008,60
HONDA Accord,2.4,4,Man-5,2WD,Gasoline,large car,7,22,31,25,7,smart,2008,61.33333333
HONDA Accord,2.4,4,Auto-L5,2WD,Gasoline,small car,7,21,30,24,7,smart,2008,59
HONDA Accord,2.4,4,Man-5,2WD,Gasoline,small car,7,22,31,25,7,smart,2008,61.33333333
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,large car,7,19,29,22,6,smart,2008,55.33333333
HONDA Accord,3.5,6,Man-6,2WD,Gasoline,small car,7,17,25,20,6,smart,2008,48.66666667
HONDA Accord,3.5,6,Auto-L5,2WD,Gasoline,small car,7,19,28,22,6,smart,2008,54.33333333
HONDA CR-V,2.4,4,Auto-L5,2WD,Gasoline,SUV,7,20,27,23,7,smart,2008,54.66666667
HONDA CR-V,2.4,4,Auto-L5,4WD,Gasoline,SUV,7,20,26,22,6,smart,2008,53.33333333
HONDA Civic,1.8,4,Auto-L5,2WD,CNG,small car,9.5,24,36,28,9,smart,2008,69.33333333
HONDA Civic,1.8,4,Auto-L5,2WD,Gasoline,small car,7,25,36,29,8,smart,2008,70.66666667
HONDA Civic,1.8,4,Man-5,2WD,Gasoline,small car,7,26,34,29,8,smart,2008,69.66666667
HONDA Civic,2,4,Man-6,2WD,Gasoline,small car,6,21,29,24,7,smart,2008,58
HONDA Civic Hybrid,1.3,4,Auto-AV,2WD,Gasoline,small car,9.5,40,45,42,10,smart,2008,99
HONDA Fit,1.5,4,Auto-S5,2WD,Gasoline,station wagon,6,27,33,29,8,smart,2008,69.66666667
HONDA Fit,1.5,4,Auto-L5,2WD,Gasoline,station wagon,6,27,34,30,8,smart,2008,71
HONDA Fit,1.5,4,Man-5,2WD,Gasoline,station wagon,6,28,34,31,9,smart,2008,72.33333333
HYUNDAI Accent,1.6,4,Auto-L4,2WD,Gasoline,small car,7,24,33,28,8,smart,2008,66.33333333
HYUNDAI Accent,1.6,4,Man-5,2WD,Gasoline,small car,7,27,32,29,8,smart,2008,68.66666667
HYUNDAI Azera,3.3,6,Auto-L5,2WD,Gasoline,large car,7,18,26,21,6,smart,2008,51
HYUNDAI Azera,3.8,6,Auto-L5,2WD,Gasoline,large car,7,17,26,20,6,smart,2008,49.66666667
HYUNDAI Elantra,2,4,Auto-L4,2WD,Gasoline,midsize car,9.5,25,33,28,8,smart,2008,67.33333333
HYUNDAI Elantra,2,4,Man-5,2WD,Gasoline,midsize car,7,24,33,27,8,smart,2008,66
HYUNDAI Elantra,2,4,Auto-L4,2WD,Gasoline,midsize car,7,25,33,28,8,smart,2008,67.33333333
HYUNDAI Santa Fe,2.7,6,Man-5,2WD,Gasoline,SUV,7,17,24,20,6,smart,2008,47.66666667
HYUNDAI Santa Fe,2.7,6,Auto-L4,2WD,Gasoline,SUV,7,18,24,20,6,smart,2008,48.66666667
HYUNDAI Santa Fe,3.3,6,Auto-L5,2WD,Gasoline,SUV,7,17,24,20,6,smart,2008,47.66666667
HYUNDAI Sonata,2.4,4,Auto-L4,2WD,Gasoline,large car,7,21,30,24,7,smart,2008,59
HYUNDAI Sonata,2.4,4,Man-5,2WD,Gasoline,large car,7,21,31,25,7,smart,2008,60.33333333
HYUNDAI Sonata,3.3,6,Auto-L5,2WD,Gasoline,large car,7,19,28,22,6,smart,2008,54.33333333
HYUNDAI Tiburon,2,4,Auto-L4,2WD,Gasoline,small car,7,20,27,22,6,smart,2008,54.33333333
HYUNDAI Tiburon,2,4,Man-5,2WD,Gasoline,small car,7,20,28,23,7,smart,2008,55.66666667
HYUNDAI Tucson,2,4,Auto-L4,2WD,Gasoline,SUV,7,19,25,22,6,smart,2008,51.33333333
HYUNDAI Tucson,2,4,Man-5,2WD,Gasoline,SUV,7,20,25,22,6,smart,2008,52.33333333
HYUNDAI Tucson,2,4,Man-5,4WD,Gasoline,SUV,7,19,24,21,6,smart,2008,50
INFINITI G35,3.5,6,Auto-S5,2WD,Gasoline,midsize car,7,17,24,20,6,smart,2008,47.66666667
INFINITI G35,3.5,6,Man-6,2WD,Gasoline,midsize car,7,17,25,20,6,smart,2008,48.66666667
INFINITI G37,3.7,6,Man-6,2WD,Gasoline,small car,7,17,26,20,6,smart,2008,49.66666667
INFINITI G37,3.7,6,Auto-S5,2WD,Gasoline,small car,7,18,24,20,6,smart,2008,48.66666667
JEEP Compass,2.4,4,Man-5,2WD,Gasoline,SUV,7,23,28,25,7,smart,2008,59.33333333
JEEP Compass,2.4,4,Auto-AV,4WD,Gasoline,SUV,7,21,24,22,6,smart,2008,52.33333333
JEEP Compass,2.4,4,Man-5,4WD,Gasoline,SUV,7,22,27,24,7,smart,2008,57
JEEP Patriot,2.4,4,Man-5,2WD,Gasoline,SUV,7,23,28,25,7,smart,2008,59.33333333
JEEP Patriot,2.4,4,Auto-AV,4WD,Gasoline,SUV,7,20,22,21,6,smart,2008,49
JEEP Patriot,2.4,4,Auto-AV,4WD,Gasoline,SUV,7,21,24,22,6,smart,2008,52.33333333
JEEP Patriot,2.4,4,Man-5,4WD,Gasoline,SUV,7,22,27,24,7,smart,2008,57
KIA Optima,2.4,4,Auto-L5,2WD,Gasoline,midsize car,7,21,31,25,7,smart,2008,60.33333333
KIA Optima,2.4,4,Man-5,2WD,Gasoline,midsize car,7,21,31,25,7,smart,2008,60.33333333
KIA Rio,1.6,4,Auto-L4,2WD,Gasoline,small car,7,25,35,29,8,smart,2008,69.66666667
KIA Rio,1.6,4,Man-5,2WD,Gasoline,small car,7,27,32,29,8,smart,2008,68.66666667
KIA Rondo,2.4,4,Auto-L4,2WD,Gasoline,station wagon,7,19,26,22,6,smart,2008,52.33333333
KIA Rondo,2.7,6,Auto-L5,2WD,Gasoline,station wagon,7,18,26,21,6,smart,2008,51
KIA Spectra,2,4,Auto-L4,2WD,Gasoline,midsize car,9.5,24,32,27,8,smart,2008,65
KIA Spectra,2,4,Man-5,2WD,Gasoline,midsize car,7,23,30,26,8,smart,2008,61.66666667
KIA Spectra,2,4,Auto-L4,2WD,Gasoline,midsize car,7,24,32,27,8,smart,2008,65
KIA Sportage,2,4,Auto-L4,2WD,Gasoline,SUV,7,19,25,21,6,smart,2008,51
KIA Sportage,2,4,Man-5,2WD,Gasoline,SUV,7,20,25,22,6,smart,2008,52.33333333
KIA Sportage,2,4,Man-5,4WD,Gasoline,SUV,7,19,24,21,6,smart,2008,50
LEXUS ES 350,3.5,6,Auto-S6,2WD,Gasoline,midsize car,7,19,27,22,6,smart,2008,53.33333333
LEXUS GS 350,3.5,6,Auto-S6,4WD,Gasoline,midsize car,7,18,25,20,6,smart,2008,49.66666667
LEXUS GS 350,3.5,6,Auto-S6,2WD,Gasoline,midsize car,7,19,27,22,6,smart,2008,53.33333333
LEXUS GS 450h,3.5,6,Auto-S6,2WD,Gasoline,small car,9,22,25,23,7,smart,2008,54.66666667
LEXUS GS 460,4.6,8,S8,2WD,Gasoline,midsize car,7,17,24,20,6,smart,2008,47.66666667
LEXUS IS 250,2.5,6,Man-6,2WD,Gasoline,small car,7,18,26,21,6,smart,2008,51
LEXUS IS 250,2.5,6,Auto-S6,4WD,Gasoline,small car,7,20,26,22,6,smart,2008,53.33333333
LEXUS IS 250,2.5,6,Auto-S6,2WD,Gasoline,small car,7,21,29,24,7,smart,2008,58
LEXUS IS 350,3.5,6,Auto-S6,2WD,Gasoline,small car,7,18,25,20,6,smart,2008,49.66666667
LEXUS LS 600HL,5,8,S8,4WD,Gasoline,midsize car,9,20,22,21,6,smart,2008,49
LEXUS RX 350,3.5,6,Auto-L5,2WD,Gasoline,SUV,7,18,23,20,6,smart,2008,47.66666667
LEXUS RX 350,3.5,6,Auto-S5,2WD,Gasoline,SUV,7,18,23,20,6,smart,2008,47.66666667
LEXUS RX 400H,3.3,6,Auto-AV,2WD,Gasoline,SUV,9,27,24,25,7,smart,2008,59.33333333
LEXUS RX 400H,3.3,6,Auto-AV,4WD,Gasoline,SUV,9,26,24,25,7,smart,2008,58.33333333
LINCOLN MKZ,3.5,6,Auto-L6,2WD,Gasoline,midsize car,7,18,28,22,6,smart,2008,53.33333333
MAZDA 3,2,4,Auto-S4,2WD,Gasoline,small car,9.5,23,31,26,8,smart,2008,62.66666667
MAZDA 3,2,4,Man-5,2WD,Gasoline,small car,9.5,24,32,27,8,smart,2008,65
MAZDA 3,2.3,4,Auto-S5,2WD,Gasoline,small car,9.5,22,29,24,7,smart,2008,59
MAZDA 3,2.3,4,Man-5,2WD,Gasoline,small car,9.5,22,29,25,7,smart,2008,59.33333333
MAZDA 3,2.3,4,Man-6,2WD,Gasoline,midsize car,7,18,26,20,6,smart,2008,50.66666667
MAZDA 5,2.3,4,Auto-S5,2WD,Gasoline,minivan,6,21,27,23,7,smart,2008,55.66666667
MAZDA 5,2.3,4,Man-5,2WD,Gasoline,minivan,6,22,28,24,7,smart,2008,58
MAZDA 6,2.3,4,Auto-S5,2WD,Gasoline,midsize car,9.5,21,28,24,7,smart,2008,57
MAZDA 6,3,6,Man-5,2WD,Gasoline,midsize car,7,17,25,20,6,smart,2008,48.66666667
MAZDA 6,3,6,Auto-S6,2WD,Gasoline,midsize car,7,18,25,20,6,smart,2008,49.66666667
MAZDA 6,2.3,4,Auto-S5,2WD,Gasoline,midsize car,6,21,28,24,7,smart,2008,57
MAZDA 6,2.3,4,Man-5,2WD,Gasoline,midsize car,6,21,29,24,7,smart,2008,58
MAZDA B2300,2.3,4,Auto-L5,2WD,Gasoline,pickup,7,19,24,21,6,smart,2008,50
MAZDA B2300,2.3,4,Man-5,2WD,Gasoline,pickup,7,21,26,23,7,smart,2008,54.66666667
MAZDA MX-5,2,4,Auto-S6,2WD,Gasoline,small car,7,20,27,23,7,smart,2008,54.66666667
MAZDA MX-5,2,4,Man-6,2WD,Gasoline,small car,7,21,28,24,7,smart,2008,57
MAZDA MX-5,2,4,Man-5,2WD,Gasoline,small car,7,22,27,24,7,smart,2008,57
MAZDA Tribute,2.3,4,Man-5,2WD,Gasoline,SUV,7,22,28,24,7,smart,2008,58
MAZDA Tribute Hybrid,2.3,4,Auto-AV,2WD,Gasoline,SUV,9.5,34,30,32,9,smart,2008,74.66666667
MAZDA Tribute Hybrid,2.3,4,Auto-AV,4WD,Gasoline,SUV,9.5,29,27,28,8,smart,2008,65.33333333
MERCURY Mariner Hybrid,2.3,4,Auto-AV,2WD,Gasoline,SUV,9.5,34,30,32,9,smart,2008,74.66666667
MERCURY Mariner Hybrid,2.3,4,Auto-AV,4WD,Gasoline,SUV,9.5,29,27,28,8,smart,2008,65.33333333
MERCURY Milan,2.3,4,Auto-L5,2WD,Gasoline,midsize car,9.5,20,28,23,7,smart,2008,55.66666667
MERCURY Milan,3,6,Auto-L6,4WD,Gasoline,midsize car,7,17,25,20,6,smart,2008,48.66666667
MERCURY Milan,3,6,Auto-L6,2WD,Gasoline,midsize car,7,18,26,21,6,smart,2008,51
MERCURY Sable,3.5,6,Auto-L6,2WD,Gasoline,large car,9.5,18,28,22,6,smart,2008,53.33333333
MINI Mini Cooper Convertible,1.6,4,Auto-AV,2WD,Gasoline,small car,6,25,33,28,8,smart,2008,67.33333333
MINI Mini Cooper Convertible,1.6,4,Man-5,2WD,Gasoline,small car,6,26,35,29,8,smart,2008,70.66666667
MINI Mini Cooper S Convertible,1.6,4,Auto-S6,2WD,Gasoline,small car,6,22,31,26,8,smart,2008,61.66666667
MINI Mini Cooper S Convertible,1.6,4,Man-6,2WD,Gasoline,small car,6,24,31,27,8,smart,2008,64
MITSUBISHI Eclipse,2.4,4,Auto-S4,2WD,Gasoline,small car,7,20,26,22,6,smart,2008,53.33333333
MITSUBISHI Eclipse,2.4,4,Man-5,2WD,Gasoline,small car,7,20,28,23,7,smart,2008,55.66666667
MITSUBISHI Eclipse Spyder,2.4,4,Auto-S4,2WD,Gasoline,small car,7,19,26,22,6,smart,2008,52.33333333
MITSUBISHI Eclipse Spyder,2.4,4,Man-5,2WD,Gasoline,small car,7,19,26,22,6,smart,2008,52.33333333
MITSUBISHI Galant,2.4,4,Auto-S4,2WD,Gasoline,midsize car,9.5,20,27,23,7,smart,2008,54.66666667
MITSUBISHI Lancer,2,4,Man-5,2WD,Gasoline,small car,9.5,21,29,24,7,smart,2008,58
MITSUBISHI Lancer,2,4,Auto-AV,2WD,Gasoline,small car,9.5,22,29,24,7,smart,2008,59
MITSUBISHI Outlander,3,6,Auto-S6,2WD,Gasoline,SUV,9.5,17,25,20,6,smart,2008,48.66666667
MITSUBISHI Outlander,3,6,Auto-S6,4WD,Gasoline,SUV,9.5,17,24,20,6,smart,2008,47.66666667
NISSAN 350Z,3.5,6,Auto-S5,2WD,Gasoline,small car,7,17,24,20,6,smart,2008,47.66666667
NISSAN 350Z,3.5,6,Man-6,2WD,Gasoline,small car,7,18,25,20,6,smart,2008,49.66666667
